year,title,author,cover_image
2001,Island: The Collected Stories,Alistair MacLeod,http://books.google.com/books/content?id=etXxxduAleIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,Dropped Threads: What We Aren't Told,"Carol Shields, Marjorie Anderson",http://books.google.com/books/content?id=Y6ERQPMpbUIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,Canada: A People's History Volume One,"Don Gillmor, Pierre Turgeon",http://books.google.com/books/content?id=h6kRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,Marching As To War: Canada's Turbulent Years 1899-1953,Pierre Berton,http://books.google.com/books/content?id=1O8RAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,On Snooker,Mordecai Richler,http://books.google.com/books/content?id=DA89j98mLhwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,The Last Amigo: Karlheinz Schreiber and the Anatomy of a Scandal,"Stevie Cameron, Harvey Cashore",http://books.google.com/books/content?id=a7oRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,How to Be a Canadian,"Will Ferguson, Ian Ferguson",http://books.google.com/books/content?id=qhiqXtpNHFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,Time Lord: The Remarkable Canadian Who Missed His Train and Changed the World,Clark Blaise,http://books.google.com/books/content?id=lSUxqza1dpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,Sandra Schmirler: The Queen of Curling,Perry Lefko,https://m.media-amazon.com/images/I/914ZpbCDlsL._SY522_.jpg
2001,Jane Austen: A Life,Carol Shields,http://books.google.com/books/content?id=Csx2YcnStBQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,The Rights Revolution,Michael Ignatieff,http://books.google.com/books/content?id=a3kdo5F2sIcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,The Bear's Embrace: A True Story of a Grizzly Bear Attack,Patricia Van Tighem,http://books.google.com/books/content?id=eoVFAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,No Logo: Taking Aim at the Brand Bullies,Naomi Klein,http://books.google.com/books/content?id=Yq_WAUXqRAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2001,Sisters In The Wilderness: The Lives of Susanna Moodie and Catharine Parr Traill,Charlotte Gray,http://books.google.com/books/content?id=mUYYAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2001,The Ingenuity Gap: How Can We Solve the Problems of the Future?,Thomas Homer-Dixon,http://books.google.com/books/content?id=TT8dtATLEKsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Unless,Carol Shields,http://books.google.com/books/content?id=wYBvmblKjAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Family Matters,Rohinton Mistry,http://books.google.com/books/content?id=8udfRgboahIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Clara Callan,Richard B. Wright,http://books.google.com/books/content?id=jGJ7KcIkGBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Navigator of New York,Wayne Johnston,http://books.google.com/books/content?id=k_7a_w8qjJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Crow Lake,Mary Lawson,http://books.google.com/books/content?id=MADI6smejFAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro,http://books.google.com/books/content?id=MFPgCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Last Crossing,Guy Vanderhaeghe,http://books.google.com/books/content?id=1Qrrja9ZEZIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Testament,Nino Ricci,http://books.google.com/books/content?id=UKMkEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,In the Skin of a Lion,Michael Ondaatje,http://books.google.com/books/content?id=d_D5Ii3PMAAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,A Fine Balance,Rohinton Mistry,http://books.google.com/books/content?id=WcaFd95RABEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Fall on Your Knees,Ann-Marie MacDonald,http://books.google.com/books/content?id=JSpbbA1zyz4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Clara Callan,Richard B. Wright,http://books.google.com/books/content?id=jGJ7KcIkGBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Stone Carvers,Jane Urquhart,http://books.google.com/books/content?id=sk5LIXg-KGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Life of Pi,Yann Martel,http://books.google.com/books/content?id=bM79cwyK4woC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Fourth Hand,John Irving,http://books.google.com/books/content?id=AZlAeKCzwNEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Spadework,Timothy Findley,https://books.google.co.uk/books/content?id=6PZDwg08PBYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71oIngMUz_QkhPosoG_R86pxuhAcYrlUSWHzwAEpSOzkAmgSPZom4WQgZznqI-5ylJI4kM-y7uhPx5DLolZ5n1eAue5GRhZ-omWOnOsxY15zS43SUz4mewLSEV16SQJvnqqz0TZ
2002,No Great Mischief,Alistair MacLeod,http://books.google.com/books/content?id=daf-3NN4_kYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,How to Be a Canadian,"Will Ferguson, Ian Ferguson",http://books.google.com/books/content?id=qhiqXtpNHFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Lucky Man: A Memoir,Michael J. Fox,http://books.google.com/books/content?id=FYmZAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,On Equilibrium,John Ralston Saul,http://books.google.com/books/content?id=w1QCBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,"Flint & Feather: The Life and Times of E. Pauline Johnson, Tekahionwake",Charlotte Gray,http://books.google.com/books/content?id=nfKwjNZRuIAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Dropped Threads: What We Aren't Told,"Carol Shields, Marjorie Anderson",http://books.google.com/books/content?id=Y6ERQPMpbUIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Souvenir of Canada,Douglas Coupland,http://books.google.com/books/content?id=StQNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Good News for a Change: Hope for a Troubled Planet,"David Suzuki, Holly Dressel",http://books.google.com/books/content?id=VpYnHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Canada: A People's History Volume Two,"Don Gillmor, Achille Michaud, Pierre Turgeon",http://books.google.com/books/content?id=h6kRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Think Big: My Life in Politics,Preston Manning,http://books.google.com/books/content?id=BI2TEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Negotiating with the Dead: A Writer on Writing,Margaret Atwood,http://books.google.com/books/content?id=jLbFlsKMIOQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,No Logo: Taking Aim at the Brand Bullies,Naomi Klein,http://books.google.com/books/content?id=Yq_WAUXqRAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,http://books.google.com/books/content?id=yBDBEGBIUmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,On Equilibrium,John Ralston Saul,http://books.google.com/books/content?id=w1QCBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,The Ingenuity Gap: How Can We Solve the Problems of the Future?,Thomas Homer-Dixon,http://books.google.com/books/content?id=TT8dtATLEKsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2002,Marching As To War: Canada's Turbulent Years 1899-1953,Pierre Berton,http://books.google.com/books/content?id=1O8RAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Fatal Passage,Ken McGoogan,http://books.google.com/books/content?id=c2mktAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2002,Time Lord: The Remarkable Canadian Who Missed His Train and Changed the World,Clark Blaise,http://books.google.com/books/content?id=lSUxqza1dpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2003,Oryx and Crake,Margaret Atwood,http://books.google.com/books/content?id=1GeHO2uy1XQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Unless,Carol Shields,http://books.google.com/books/content?id=wYBvmblKjAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Way the Crow Flies,Ann-Marie MacDonald,http://books.google.com/books/content?id=enLBTNKB3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Last Crossing,Guy Vanderhaeghe,http://books.google.com/books/content?id=1Qrrja9ZEZIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Navigator of New York,Wayne Johnston,http://books.google.com/books/content?id=k_7a_w8qjJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Vinyl Cafe Diaries,Stuart McLean,http://books.google.com/books/content?id=NUwsAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2003,The Romantic,Barbara Gowdy,http://books.google.com/books/content?id=fnuwF86HfdsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
